TestFile,"	ConNum","	ParttAlg","	Hybrid","	Early_Accept","	One_Shot"
alu,"	20","	0","	0.000993013381958","	0.000933170318604","	49.1634278297"
alu,"	20","	1","	0.0010130405426","	0.000890970230103","	48.6643419266"
bp,"	4","	0","	0.000230073928833","	0.000214099884033","	0.425223827362"
bp,"	4","	1","	0.000211954116821","	0.000212907791138","	0.392028093338"
cpu,"	74","	0","	0.00276517868042","	0.0024721622467","	180.059451103"
cpu,"	74","	1","	0.00310182571411","	0.00248098373413","	180.038309097"
cpu1,"	82","	0","	0.00365304946899","	0.00355696678162","	180.035214186"
cpu1,"	82","	1","	0.00391912460327","	0.00356006622314","	180.072097778"
cpu2,"	69","	0","	0.00272297859192","	0.00242805480957","	180.068034887"
cpu2,"	69","	1","	0.00269603729248","	0.00238990783691","	180.010322809"
cpu3,"	75","	0","	0.00261092185974","	0.00246906280518","	180.014497042"
cpu3,"	75","	1","	0.00335907936096","	0.00264406204224","	180.072816133"
cpu4,"	95","	0","	180.002520084","	180.001636982","	180.002908945"
cpu4,"	95","	1","	69.4269380569","	43.3305399418","	180.023052931"
ddram,"	0","	0","	2.59876251221e-05","	2.40802764893e-05","	6.91413879395e-06"
ddram,"	0","	1","	1.21593475342e-05","	1.00135803223e-05","	5.00679016113e-06"
dsram,"	4","	0","	0.0001540184021","	0.000151872634888","	0.448478937149"
dsram,"	4","	1","	0.000168085098267","	0.000150918960571","	0.362232923508"
dsram1,"	4","	0","	0.498699903488","	0.54816198349","	0.359678030014"
dsram1,"	4","	1","	0.126659870148","	2.84569907188","	0.298645973206"
dsram2,"	3","	0","	0.000128030776978","	9.79900360107e-05","	0.478816986084"
dsram2,"	3","	1","	0.000133037567139","	0.000113964080811","	0.395023107529"
dsram3,"	2","	0","	6.98566436768e-05","	4.10079956055e-05","	0.135677099228"
dsram3,"	2","	1","	6.5803527832e-05","	4.00543212891e-05","	0.109208106995"
dsram4,"	3","	0","	0.000131845474243","	0.000110149383545","	0.483158111572"
dsram4,"	3","	1","	0.000117063522339","	0.0001220703125","	0.400546073914"
dsram5,"	6","	0","	0.205739974976","	1.57960796356","	0.536206007004"
dsram5,"	6","	1","	0.17130112648","	21.9586708546","	0.449653148651"
dsram6,"	4","	0","	0.143311977386","	0.48818898201","	0.302551984787"
dsram6,"	4","	1","	0.375219106674","	2.84318089485","	0.241724014282"
dsram7,"	4","	0","	0.000164031982422","	0.000162124633789","	0.437614917755"
dsram7,"	4","	1","	0.000159025192261","	0.000123977661133","	0.361809968948"
dtram,"	3","	0","	0.000120878219604","	9.91821289062e-05","	0.475616931915"
dtram,"	3","	1","	0.000123977661133","	8.98838043213e-05","	0.389137983322"
ex,"	20","	0","	0.000370979309082","	0.000346899032593","	35.4383678436"
ex,"	20","	1","	0.000353813171387","	0.000362873077393","	29.6297309399"
idram,"	3","	0","	0.000115871429443","	7.79628753662e-05","	0.493943929672"
idram,"	3","	1","	0.0001060962677","	7.79628753662e-05","	0.40521979332"
if,"	9","	0","	0.00043797492981","	0.000394821166992","	9.39978480339"
if,"	9","	1","	0.000375032424927","	0.000388145446777","	7.80757308006"
isram,"	3","	0","	9.3936920166e-05","	7.5101852417e-05","	0.443081855774"
isram,"	3","	1","	0.000109195709229","	8.39233398438e-05","	0.369400024414"
itram,"	3","	0","	0.000111103057861","	8.29696655273e-05","	0.445425033569"
itram,"	3","	1","	0.000103950500488","	9.79900360107e-05","	0.38045501709"
mem,"	163","	0","	33.5088148117","	180.001302958","	180.050571918"
mem,"	163","	1","	142.958088875","	180.001185179","	180.054053068"
mem1,"	16","	0","	0.000625133514404","	0.000529050827026","	53.6602971554"
mem1,"	16","	1","	0.00060510635376","	0.000519990921021","	42.2940349579"
mem10,"	19","	0","	0.000309944152832","	0.000285148620605","	180.091767073"
mem10,"	19","	1","	0.000359058380127","	0.000232934951782","	180.052757978"
mem11,"	24","	0","	0.000488042831421","	0.000458955764771","	180.084010124"
mem11,"	24","	1","	0.000582218170166","	0.000485181808472","	180.082613945"
mem12,"	18","	0","	29.4949569702","	20.8491001129","	128.985701084"
mem12,"	18","	1","	0.44038105011","	0.297199010849","	268.568640947"
mem13,"	21","	0","	15.2725250721","	11.7690069675","	180.086449146"
mem13,"	21","	1","	2.0210981369","	1.35628199577","	180.105589867"
mem14,"	9","	0","	6.10816001892","	28.0520009995","	10.641972065"
mem14,"	9","	1","	0.880446910858","	180.041507959","	8.08540010452"
mem15,"	21","	0","	180.009640932","	180.00512886","	180.051160097"
mem15,"	21","	1","	1.93129205704","	180.037048101","	180.080445051"
mem16,"	9","	0","	0.000162124633789","	0.000144004821777","	21.6043021679"
mem16,"	9","	1","	0.000204086303711","	0.000155925750732","	16.3275930882"
mem17,"	21","	0","	35.1954700947","	180.007556915","	51.7409260273"
mem17,"	21","	1","	6.55910778046","	180.00414896","	41.254556179"
mem18,"	19","	0","	2.27174091339","	1.6192908287","	180.004924059"
mem18,"	19","	1","	6.08022499084","	3.5614900589","	180.003310919"
mem19,"	8","	0","	5.42724299431","	15.4634079933","	5.58222484589"
mem19,"	8","	1","	0.482405185699","	180.055847883","	4.22304701805"
mem2,"	48","	0","	0.00272297859192","	0.00259685516357","	180.090590954"
mem2,"	48","	1","	0.00265693664551","	0.00255584716797","	180.00346303"
mem20,"	23","	0","	29.0625450611","	180.008751154","	180.067474127"
mem20,"	23","	1","	2.33001303673","	180.001700878","	180.082532167"
mem21,"	9","	0","	0.000159025192261","	0.000162124633789","	21.330807209"
mem21,"	9","	1","	0.000195026397705","	0.000160932540894","	15.8130550385"
mem22,"	22","	0","	24.1291630268","	180.000041962","	62.350053072"
mem22,"	22","	1","	0.62146115303","	180.004664898","	50.1824908257"
mem3,"	30","	0","	0.000856876373291","	0.000675201416016","	180.03827095"
mem3,"	30","	1","	0.000802993774414","	0.000692129135132","	180.016793966"
mem4,"	68","	0","	180.006617069","	180.006803036","	180.020716906"
mem4,"	68","	1","	180.000224829","	180.008739948","	180.053814888"
mem5,"	112","	0","	180.013540983","	180.003243923","	180.06697011"
mem5,"	112","	1","	180.005476952","	180.005082846","	180.035098791"
mem6,"	33","	0","	0.00117492675781","	0.0011157989502","	180.002658844"
mem6,"	33","	1","	0.00121188163757","	0.00106287002563","	180.001605988"
mem7,"	33","	0","	180.001214981","	180.000758171","	180.064165831"
mem7,"	33","	1","	180.004930973","	180.003474951","	180.082532883"
mem8,"	17","	0","	0.00028920173645","	0.000256061553955","	180.089910984"
mem8,"	17","	1","	0.000280141830444","	0.000270843505859","	180.044320107"
mem9,"	29","	0","	0.000899076461792","	0.000802040100098","	180.072097063"
mem9,"	29","	1","	0.00095796585083","	0.000777006149292","	180.057717085"
mips,"	21","	0","	0.000588893890381","	0.000547885894775","	165.293181181"
mips,"	21","	1","	0.000571012496948","	0.000518083572388","	129.623689175"
ps-alu,"	14","	0","	0.00104403495789","	0.000940084457397","	7.55115008354"
ps-alu,"	14","	1","	0.00102305412292","	0.000942945480347","	5.60135412216"
ps-bp,"	4","	0","	0.00019097328186","	0.00017786026001","	0.524715185165"
ps-bp,"	4","	1","	0.000216007232666","	0.000172853469849","	0.384464979172"
ps-cpu,"	26","	0","	0.00286221504211","	0.00253915786743","	180.020534039"
ps-cpu,"	26","	1","	0.00297093391418","	0.00246500968933","	180.020202875"
ps-cpu1,"	33","	0","	0.0038149356842","	0.00355100631714","	180.009685993"
ps-cpu1,"	33","	1","	0.00374484062195","	0.00357818603516","	180.002334833"
ps-cpu2,"	25","	0","	0.00233793258667","	0.00236392021179","	180.053345203"
ps-cpu2,"	25","	1","	0.00256085395813","	0.00233721733093","	180.003342867"
ps-cpu3,"	27","	0","	0.00250101089478","	0.0024561882019","	180.000496864"
ps-cpu3,"	27","	1","	0.0027711391449","	0.00250196456909","	180.010094166"
ps-cpu4,"	35","	0","	83.624065876","	56.7647311687","	180.075796843"
ps-cpu4,"	35","	1","	9.81065487862","	5.22787308693","	180.008184195"
ps-ddram,"	0","	0","	2.19345092773e-05","	1.31130218506e-05","	5.96046447754e-06"
ps-ddram,"	0","	1","	1.19209289551e-05","	8.82148742676e-06","	4.05311584473e-06"
ps-dsram,"	4","	0","	0.000172138214111","	0.000167846679688","	0.516716957092"
ps-dsram,"	4","	1","	0.000170946121216","	0.000131845474243","	0.350439071655"
ps-dsram1,"	4","	0","	0.583728075027","	0.655692100525","	0.41895198822"
ps-dsram1,"	4","	1","	0.119305849075","	2.7932639122","	0.286586999893"
ps-dsram2,"	3","	0","	0.000131130218506","	0.000121116638184","	0.5885181427"
ps-dsram2,"	3","	1","	0.000123977661133","	0.00012993812561","	0.408630847931"
ps-dsram3,"	2","	0","	7.29560852051e-05","	4.38690185547e-05","	0.163816928864"
ps-dsram3,"	2","	1","	7.79628753662e-05","	4.19616699219e-05","	0.116523981094"
ps-dsram4,"	3","	0","	0.000120878219604","	0.000112056732178","	0.597548007965"
ps-dsram4,"	3","	1","	0.000134944915771","	0.000102996826172","	0.402480125427"
ps-dsram5,"	6","	0","	0.236694097519","	1.86166286469","	0.629195928574"
ps-dsram5,"	6","	1","	0.164143800735","	21.6624660492","	0.428283929825"
ps-dsram6,"	4","	0","	0.373319864273","	0.611739873886","	0.378328084946"
ps-dsram6,"	4","	1","	0.238241910934","	2.77465295792","	0.265048027039"
ps-dsram7,"	4","	0","	0.000195980072021","	0.00016188621521","	0.509010076523"
ps-dsram7,"	4","	1","	0.000168085098267","	0.000130176544189","	0.358678102493"
ps-dtram,"	3","	0","	0.000107049942017","	7.70092010498e-05","	0.558167934418"
ps-dtram,"	3","	1","	0.000116109848022","	8.39233398438e-05","	0.377727985382"
ps-ex,"	1","	0","	0.000345945358276","	0.000279188156128","	0.0243239402771"
ps-ex,"	1","	1","	0.000291109085083","	0.000282049179077","	0.0182301998138"
ps-idram,"	3","	0","	8.20159912109e-05","	6.41345977783e-05","	0.573433160782"
ps-idram,"	3","	1","	0.000101089477539","	9.48905944824e-05","	0.394418954849"
ps-if,"	1","	0","	0.000540971755981","	0.000458955764771","	0.0265119075775"
ps-if,"	1","	1","	0.000323057174683","	0.000312805175781","	0.0155520439148"
ps-isram,"	3","	0","	0.000120878219604","	8.89301300049e-05","	0.563130140305"
ps-isram,"	3","	1","	0.000118970870972","	8.9168548584e-05","	0.388329029083"
ps-itram,"	3","	0","	9.3936920166e-05","	7.48634338379e-05","	0.553466081619"
ps-itram,"	3","	1","	0.000102043151855","	8.10623168945e-05","	0.393686056137"
ps-mem,"	97","	0","	180.011217833","	180.013161898","	180.090916157"
ps-mem,"	97","	1","	53.7449939251","	180.004938841","	180.052487135"
ps-mem1,"	2","	0","	8.39233398438e-05","	5.10215759277e-05","	0.0677762031555"
ps-mem1,"	2","	1","	7.9870223999e-05","	4.88758087158e-05","	0.0459129810333"
ps-mem10,"	8","	0","	0.000283002853394","	0.000264883041382","	3.82823204994"
ps-mem10,"	8","	1","	0.000267028808594","	0.000252962112427","	2.71821308136"
ps-mem11,"	11","	0","	0.000504970550537","	0.000486135482788","	12.3294181824"
ps-mem11,"	11","	1","	0.000529050827026","	0.000480890274048","	9.43325901031"
ps-mem12,"	15","	0","	1.13533091545","	0.794887065887","	4.92314720154"
ps-mem12,"	15","	1","	1.34731793404","	0.762002944946","	3.52413606644"
ps-mem13,"	9","	0","	0.345749855042","	0.249629974365","	2.34346103668"
ps-mem13,"	9","	1","	0.256551027298","	0.18581700325","	1.80861091614"
ps-mem14,"	5","	0","	0.389996051788","	0.795341968536","	0.405915021896"
ps-mem14,"	5","	1","	0.302641153336","	6.69318294525","	0.292135000229"
ps-mem15,"	11","	0","	6.064702034","	7.56730914116","	3.3219499588"
ps-mem15,"	11","	1","	0.843947887421","	199.388026953","	2.64032888412"
ps-mem16,"	6","	0","	0.00020694732666","	0.000284910202026","	1.89438509941"
ps-mem16,"	6","	1","	0.0001380443573","	0.000120162963867","	1.02809309959"
ps-mem17,"	13","	0","	3.60911798477","	10.7286100388","	3.59666800499"
ps-mem17,"	13","	1","	1.01636791229","	516.935686111","	2.76038002968"
ps-mem18,"	11","	0","	0.475563049316","	0.307299137115","	10.3418719769"
ps-mem18,"	11","	1","	1.30507493019","	0.933606863022","	12.4067599773"
ps-mem19,"	5","	0","	28.0465769768","	0.823263168335","	0.489841938019"
ps-mem19,"	5","	1","	0.449414014816","	7.26787900925","	0.345868825912"
ps-mem2,"	29","	0","	0.0107929706573","	0.0105338096619","	326.366673946"
ps-mem2,"	29","	1","	0.00349688529968","	0.00308799743652","	121.046276093"
ps-mem20,"	13","	0","	3.32147312164","	15.7700788975","	5.70530295372"
ps-mem20,"	13","	1","	1.60656619072","	180.000627041","	4.27446103096"
ps-mem21,"	6","	0","	0.000149965286255","	0.000155925750732","	1.32966113091"
ps-mem21,"	6","	1","	0.000132083892822","	0.00014591217041","	0.941297054291"
ps-mem22,"	14","	0","	1.09709000587","	18.6873440742","	4.24053215981"
ps-mem22,"	14","	1","	2.00475001335","	180.00443697","	3.19765806198"
ps-mem3,"	16","	0","	0.000771999359131","	0.000644207000732","	36.7469911575"
ps-mem3,"	16","	1","	0.000689029693604","	0.000676870346069","	26.2553789616"
ps-mem4,"	45","	0","	9.25522303581","	180.013532877","	180.052834988"
ps-mem4,"	45","	1","	1.17349886894","	180.005876064","	180.006393909"
ps-mem5,"	64","	0","	24.1511809826","	180.005409002","	180.004639864"
ps-mem5,"	64","	1","	4.11232995987","	180.00914216","	180.060760975"
ps-mem6,"	34","	0","	2.9630010128","	180.012731075","	180.06468606"
ps-mem6,"	34","	1","	3.09300303459","	180.008010864","	180.003386021"
ps-mem7,"	10","	0","	8.1331448555","	6.06785297394","	3.75780892372"
ps-mem7,"	10","	1","	5.44473314285","	180.008265018","	2.7572350502"
ps-mem8,"	6","	0","	0.000236988067627","	0.000244140625","	1.82933998108"
ps-mem8,"	6","	1","	0.000264883041382","	0.000261068344116","	1.29239392281"
ps-mem9,"	10","	0","	0.000834941864014","	0.00079083442688","	7.63732600212"
ps-mem9,"	10","	1","	0.000901937484741","	0.000793933868408","	5.62456202507"
ps-mips,"	0","	0","	2.28881835938e-05","	2.21729278564e-05","	6.19888305664e-06"
ps-mips,"	0","	1","	1.19209289551e-05","	7.86781311035e-06","	4.05311584473e-06"
ps-qc,"	7","	0","	0.000256776809692","	0.000292062759399","	0.966897964478"
ps-qc,"	7","	1","	0.000309228897095","	0.000281095504761","	0.658931970596"
ps-rd,"	3","	0","	0.000880002975464","	0.000870943069458","	0.170603990555"
ps-rd,"	3","	1","	0.000853061676025","	0.000861883163452","	0.11678814888"
ps-rf,"	1","	0","	7.10487365723e-05","	4.29153442383e-05","	0.0220260620117"
ps-rf,"	1","	1","	5.88893890381e-05","	5.29289245605e-05","	0.0172719955444"
ps-wb,"	1","	0","	0.000114917755127","	8.41617584229e-05","	0.0222609043121"
ps-wb,"	1","	1","	7.79628753662e-05","	0.000100135803223","	0.0162608623505"
qc,"	7","	0","	0.000298023223877","	0.000290870666504","	2.51935505867"
qc,"	7","	1","	0.000253915786743","	0.00022292137146","	1.72183585167"
rd,"	14","	0","	0.00104689598083","	0.000972986221313","	80.5256669521"
rd,"	14","	1","	0.000962018966675","	0.00088906288147","	60.0725741386"
rf,"	1","	0","	7.91549682617e-05","	5.19752502441e-05","	0.0223100185394"
rf,"	1","	1","	6.103515625e-05","	4.38690185547e-05","	0.0156331062317"
wb,"	3","	0","	0.000120162963867","	7.89165496826e-05","	0.343039035797"
wb,"	3","	1","	0.000125169754028","	0.000108957290649","	0.223588943481"
